numero_de_cliente;meses_activo
43368621;1
43559619;1
37956806;2
43483747;2
43560576;2
43603484;2
39922866;3
8469141;4
25172429;4
26582990;4
43418140;4
43543160;4
38274814;2
43625553;2
43646218;2
23377284;3
31107405;3
43621540;3
43684025;3
26810046;4
25323266;5
16788204;1
35293428;1
42394490;1
43852432;1
15592720;2
16158604;2
16404565;2
18554190;2
26809475;2
28341463;2
41102041;2
43655229;2
43947309;2
43961638;2
43975862;2
16739433;3
39939734;3
43740220;3
43871368;3
43897829;3
43916310;3
43966511;3
24175622;4
25925852;4
43741157;4
43747104;4
43858112;4
43949069;4
43940853;5
43956401;5
43964188;5
16284095;6
43858128;6
43920331;6
17906221;1
44040693;2
44049121;3
44093735;3
44048342;4
31228925;5
37638361;5
44105582;5
44130318;5
35560942;6
44092844;6
44129531;6
44130438;6
36690811;7
44085411;7
44117094;7
15327402;1
25473165;1
34043664;1
44371166;1
44261910;2
44274819;2
17572433;3
22655558;3
22834118;3
44260563;3
44327949;3
44342467;3
44373320;3
7281437;4
7990610;4
18329527;4
27690890;4
44118213;4
44346723;4
22719097;5
40107411;5
44283451;5
44394459;5
18669296;6
33224070;6
43784772;6
44331909;6
44368048;6
44406055;6
26338314;7
43051624;7
44033183;7
44084307;7
44294083;7
44356494;7
43881023;8
43981770;8
44220225;8
44270898;8
16569028;1
43770640;1
44482182;1
37821112;2
43913705;2
44517623;2
44547854;2
44578746;2
44579545;2
8025028;2
22454362;3
44027422;3
44328293;3
44357760;3
44552748;3
16871828;4
24273348;4
44525437;4
44533788;4
44548580;4
44475116;5
44547310;5
44560824;5
17617780;6
23241941;6
23721692;6
30791334;6
34553272;6
44271442;6
44526290;6
44551054;6
44578032;6
44592588;6
8298782;7
19934469;7
31853033;7
44488684;7
7817981;8
42680064;8
44577457;8
33916008;9
43864337;9
43995797;9
44502870;9
33922947;1
44725855;1
44799396;1
22082478;2
22426280;2
26052173;2
37002375;2
44758409;2
44827678;2
10842889;3
44876660;3
18118038;4
38683139;4
44718530;4
44478964;5
24741120;6
43646133;6
44740094;6
44798666;6
9380131;7
11038108;7
11166655;7
25451439;7
36354680;7
44760933;7
44840583;7
44865979;7
20293704;8
44533800;8
44816468;8
44841980;8
44856640;8
8858792;6
40480669;8
44306065;9
44854583;9
38135319;10
38846907;3
44744293;10
44746276;10
9783281;1
7418247;2
28350045;2
44437630;2
21582652;3
41119334;3
44474344;3
35356847;4
44950900;4
44951579;4
44953435;2
22082416;5
44884896;5
44950780;5
20257309;6
26188245;6
32879334;6
44953358;6
45003429;6
44902852;7
40192506;8
42305964;8
44906274;8
44924138;8
16827615;7
43260515;9
44950310;9
19139809;5
24749942;10
45000067;10
45017352;10
10841315;11
19955678;11
20721825;11
32816957;11
44961477;11
26941835;1
30860001;2
45047888;2
9907830;3
31986342;3
38148756;3
7834270;4
45058261;4
6665541;5
17236492;5
40376785;5
44987560;5
6619519;6
28703646;6
5689716;7
45089156;7
45112341;7
45024491;8
45045009;8
8471047;9
8701291;9
15474079;9
16060153;9
45046684;8
5826926;11
8711363;11
18112207;11
19594634;11
39877797;11
42993279;11
21147067;12
27428234;11
28625991;4
45055070;8
22034244;2
45316012;2
16313002;3
40115739;3
45316544;3
45335932;3
29882196;4
19943229;5
40285110;5
45305060;4
18730909;6
26945585;6
42990323;6
29923128;4
45316864;7
6472741;8
19891808;7
22852711;8
36377796;8
17572067;9
35934972;9
37114394;9
45243798;9
45267878;9
45278471;8
45305318;9
18356852;10
34102105;8
29871950;11
45270282;9
45277900;10
45284553;11
10457182;12
21827236;12
42810926;12
45341770;12
45343210;3
22307785;13
24764695;1
28121450;13
45072563;13
45255290;13
45345286;13
17371823;1
10404468;2
21451292;2
45433850;2
29101995;4
34142844;4
45295150;4
45320268;4
45369621;4
45477144;4
34531133;5
45220764;5
45442490;5
45499179;5
5724107;3
28924454;6
40066969;6
45253002;6
45492673;6
45231330;7
45402689;7
45428961;7
7077157;8
27608828;8
45277792;8
45494996;1
28192563;6
43828857;6
45389965;9
45413691;9
45427170;9
45431052;9
45457208;5
45489014;9
45363199;10
7621141;1
15374000;11
45415782;6
45446689;7
45464803;11
15258666;12
30141640;5
33194236;12
39508529;12
39774731;12
40868333;12
45370215;11
45477206;12
45486105;5
9974429;4
27342576;13
34838448;13
39771065;12
45292966;13
45427911;9
33933412;8
45369856;14
45463568;14
45475392;14
21676596;2
30334795;2
45280196;2
22251633;3
31457856;4
8338622;6
45275484;5
45699121;6
27552166;7
42638020;6
17496044;8
42755059;7
45697867;6
45703756;8
44089436;9
45744800;9
22558169;10
45661739;10
45624770;1
45695089;9
